13:33:19 Programa Iniciado
13:33:19 Worker 3382 created!!!
13:33:19 Worker 3382 writing!!!
13:33:19 Worker 3382 leaving!!!
13:33:19 Worker 3383 created!!!
13:33:19 Worker 3383 writing!!!
13:33:19 Worker 3383 leaving!!!
13:33:19 Worker 3385 created!!!
13:33:19 Worker 3385 writing!!!
13:33:19 Worker 3385 leaving!!!
13:33:19 Thread Sensor_Reader started
13:33:19 Thread Sensor_Reader finished
13:33:19 Worker 3386 created!!!
13:33:19 Worker 3386 writing!!!
13:33:19 Worker 3386 leaving!!!
13:33:19 Thread Dispatcher started
13:33:19 Thread Dispatcher finished
13:33:19 Thread Console_Reader started
13:33:19 Thread Console_Reader finished
13:33:19 Worker 3384 created!!!
13:33:19 Worker 3384 writing!!!
13:33:19 Worker 3384 leaving!!!
13:33:19 Process Alerts_Watcher started
13:33:19 Process Alerts_Watcher finished
13:33:19 Programa Finalizado
